2026-03-22 15:19:53 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=2043177706&type=song
2026-03-22 15:19:53 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=2043177706&type=song
2026-03-22 15:19:53 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 2043177706 from any endpoint
2026-03-22 15:19:53 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 2043177706 from any endpoint
2026-03-22 15:19:53 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 星间旅行 Interstellar Journey (英文版)
2026-03-22 15:19:53 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 星间旅行 Interstellar Journey (英文版)
2026-03-22 15:19:54 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 10/10: 完美偶像 Perfect Idol
2026-03-22 15:19:54 | INFO     | src.platforms.netease.crawler:search_and_get_comments:222 | Processing 10/10: 完美偶像 Perfect Idol
2026-03-22 15:19:54 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 3360835405
2026-03-22 15:19:54 | INFO     | src.platforms.netease.crawler:get_comments:147 | Getting comments for song ID: 3360835405
2026-03-22 15:19:55 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:55 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 1 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:56 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:56 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 2 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:59 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:59 | WARNING  | src.core.base_crawler:_make_request:47 | Attempt 3 failed: 404 Client Error: Not Found for url: https://api.paugram.com/netease/comment/?id=3360835405&type=song
